Entity ID,Description,Creator Label,Input Text
http://www.wikidata.org/entity/Q117795183,N/A,Agnolo Bronzino,Allegorical Portrait of Dante
http://www.wikidata.org/entity/Q20774149,N/A,Lilla Cabot Perry,Open Air Concert
http://www.wikidata.org/entity/Q108479211,N/A,Pierre Auguste Renoir,Study of a Woman
http://www.wikidata.org/entity/Q119831026,N/A,Alfred Wallis,"Sailing Ships and Two Steamers, Newlyn Harbour"
http://www.wikidata.org/entity/Q119796881,N/A,Samuel Peploe,"Evening, North Berwick"
http://www.wikidata.org/entity/Q24022809,N/A,Vincent van Gogh,Olive Grove
http://www.wikidata.org/entity/Q116298671,N/A,Jules Breton,The Harvest
http://www.wikidata.org/entity/Q119261369,N/A,Laura Knight,Young Gypsies
http://www.wikidata.org/entity/Q119693872,N/A,James Charles,Spring Blossom at Ambersham
http://www.wikidata.org/entity/Q19912231,N/A,Henri de Toulouse-Lautrec,Woman in the Garden
http://www.wikidata.org/entity/Q20190957,N/A,Mary Cassatt,Mother and Child
http://www.wikidata.org/entity/Q74875605,N/A,Sam Francis,Indigo Wood
http://www.wikidata.org/entity/Q20260876,N/A,Alfred Sisley,A Turn in the Road
http://www.wikidata.org/entity/Q20193563,N/A,Arshile Gorky,One Year the Milkweed
http://www.wikidata.org/entity/Q66050786,N/A,Daniel Ridgway Knight,A Maid in Her Garden
http://www.wikidata.org/entity/Q119152610,N/A,Frederick Carl Frieseke,Lady in Pink
http://www.wikidata.org/entity/Q4387907,N/A,Ivan Aivazovsky,The Rainbow
http://www.wikidata.org/entity/Q98149907,N/A,Jacob Ochtervelt,The Music Lesson
http://www.wikidata.org/entity/Q27698909,N/A,Jusepe de Ribera,The Immaculate
http://www.wikidata.org/entity/Q65356642,N/A,Henri de Toulouse-Lautrec,Miss May Belfort
http://www.wikidata.org/entity/Q49873216,N/A,Francisco Goya,Juan Antonio Llorente
http://www.wikidata.org/entity/Q2405395,N/A,Andrea Mantegna,Adoration of the Magi
http://www.wikidata.org/entity/Q59484184,N/A,Byam Shaw,The Flag
http://www.wikidata.org/entity/Q79134586,N/A,Adolphe Joseph Thomas Monticelli,Still Life with Sardines and Sea-Urchins
http://www.wikidata.org/entity/Q21607747,N/A,Gabriel Metsu,The Dismissal of Hagar
http://www.wikidata.org/entity/Q1218084,N/A,Rembrandt,The Three Crosses
http://www.wikidata.org/entity/Q119768348,N/A,George Morland,The Village Butcher
http://www.wikidata.org/entity/Q97378865,N/A,Egon Schiele,The Embrace
http://www.wikidata.org/entity/Q105123108,N/A,Jean Michel Basquiat,Fishing
http://www.wikidata.org/entity/Q28854839,N/A,Martiros Sarian,Walking woman
http://www.wikidata.org/entity/Q4012247,N/A,Frederic Leighton,"The Villa Malta, Rome"
http://www.wikidata.org/entity/Q19858526,N/A,Robert Delaunay,In the Garden
http://www.wikidata.org/entity/Q119081762,N/A,James Webb,Evening off St Michael's Mount
http://www.wikidata.org/entity/Q4389943,N/A,Vasily Polenov,Early snow
http://www.wikidata.org/entity/Q24020443,N/A,Vincent van Gogh,"Still Life with Earthenware, Bottle and Clogs"
http://www.wikidata.org/entity/Q3937477,N/A,Amedeo Modigliani,Portrait of Frank Burty Haviland
http://www.wikidata.org/entity/Q108699185,N/A,Frank Johnston,What Greets the Eye When You Look Back at the Pilot
http://www.wikidata.org/entity/Q119656460,N/A,John Bratby,Elaine Morgan
http://www.wikidata.org/entity/Q103310020,N/A,Adriaen van Ostade,The Peasant Settling His Debt
http://www.wikidata.org/entity/Q50735356,N/A,Jeffrey Smart,Corrugated Gioconda
http://www.wikidata.org/entity/Q1113763,N/A,Diego Velazquez,Pablo de Valladolid
http://www.wikidata.org/entity/Q119694576,N/A,Winston Churchill,"Racecourse, Nice"
http://www.wikidata.org/entity/Q26221172,N/A,Vincent van Gogh,Enclosed Field with Ploughman
http://www.wikidata.org/entity/Q23939715,N/A,Oskar Kokoschka,Portrait of Lotte Franzos
http://www.wikidata.org/entity/Q20190784,N/A,Pablo Picasso,Le gourmet
http://www.wikidata.org/entity/Q42860719,N/A,Benjamin West,Venus Lamenting the Death of Adonis
http://www.wikidata.org/entity/Q26221243,N/A,Vincent van Gogh,Garden in Auvers
http://www.wikidata.org/entity/Q102184466,N/A,Salvador Dali,The Tower
http://www.wikidata.org/entity/Q3636743,N/A,Cima da Conegliano,The Baptism of Christ
http://www.wikidata.org/entity/Q26689504,N/A,Adam Elsheimer,Saint Lawrence Prepared for Martyrdom
http://www.wikidata.org/entity/Q50818695,N/A,Claude Monet,The Sunken Road in the Cliff at Varangeville
http://www.wikidata.org/entity/Q20180743,N/A,Gilbert Stuart,John Adams
http://www.wikidata.org/entity/Q19905429,N/A,Jan Steen,Merry Company on a Terrace
http://www.wikidata.org/entity/Q20812816,N/A,Thomas Eakins,Portrait of Lucy Lewis
http://www.wikidata.org/entity/Q20171507,N/A,William Blake,The Great Red Dragon and the Beast from the Sea
http://www.wikidata.org/entity/Q3076680,N/A,Diego Velazquez,Equestrian Portrait of Philip IV
http://www.wikidata.org/entity/Q5651584,N/A,John William Waterhouse,Ulysses and the Sirens
http://www.wikidata.org/entity/Q59505338,N/A,Prudence Heward,Leaves (Study for Portrait of Barbara)
http://www.wikidata.org/entity/Q119014200,N/A,George Romney,"Major-General Sir Archibald Campbell of Inverneil and Ross (1739–1791), KB, Governor and Commander-in-Chief, Madras"
http://www.wikidata.org/entity/Q18173404,N/A,Katsushika Hokusai,The Fuji from the mountains of Totomi
http://www.wikidata.org/entity/Q20536609,N/A,Grace Cossington Smith,The curve of the Bridge
http://www.wikidata.org/entity/Q7085379,N/A,Vincent van Gogh,Old Vineyard with Peasant Woman
http://www.wikidata.org/entity/Q5598238,N/A,Piet Mondrian,The Gray Tree
http://www.wikidata.org/entity/Q65511745,N/A,Rembrandt,Sick woman with a large white headdress (Saskia)
http://www.wikidata.org/entity/Q119796922,N/A,Samuel Peploe,Study of a Baby in a Bath
http://www.wikidata.org/entity/Q118984986,N/A,Nicolaes Maes,A Young Boy with His Dog
http://www.wikidata.org/entity/Q24088434,N/A,Marie Gabrielle Capet,Portrait of Anne-Félicité Grésille
http://www.wikidata.org/entity/Q30126493,N/A,Dante Gabriel Rossetti,Golden Water
http://www.wikidata.org/entity/Q28923337,N/A,Pieter Codde,The Dancing Lesson
http://www.wikidata.org/entity/Q20188200,N/A,Frederic Edwin Church,Tamaca Palms
http://www.wikidata.org/entity/Q108773599,N/A,Berthe Morisot,On the Sofa
http://www.wikidata.org/entity/Q87749975,N/A,Franz Marc,Small Composition I
http://www.wikidata.org/entity/Q119796916,N/A,Samuel Peploe,Still Life with Paint Tubes
http://www.wikidata.org/entity/Q17335994,N/A,Adriaen Brouwer,The Smoker
http://www.wikidata.org/entity/Q17324770,N/A,Esaias van de Velde,Elegant company dining in the open air
http://www.wikidata.org/entity/Q20183547,N/A,Gilbert Stuart,Sarah Homes Tappan
http://www.wikidata.org/entity/Q78613331,N/A,Placido Costanzi,A Miracle of Saint Joseph of Cupertino
http://www.wikidata.org/entity/Q55425567,N/A,Amedeo Modigliani,Young woman
http://www.wikidata.org/entity/Q20267756,N/A,Domenico Tintoretto,Venus and Mars with Cupid and the Three Graces in a Landscape
http://www.wikidata.org/entity/Q102185973,N/A,Salvador Dali,Saltimbanques
http://www.wikidata.org/entity/Q37916692,N/A,Peder Severin Krøyer,Viggo Johansen
http://www.wikidata.org/entity/Q21739197,N/A,Pierre Bonnard,Dauphine Landscape
http://www.wikidata.org/entity/Q2276972,N/A,Andrea Mantegna,St. Sebastian
http://www.wikidata.org/entity/Q76335623,N/A,Anne Appleby,Sweet Pine
http://www.wikidata.org/entity/Q115003398,N/A,Fede Galizia,White Ceramic Bowl with Peaches and Red and Blue Plums
http://www.wikidata.org/entity/Q16913143,N/A,Rembrandt,Portrait Of An Old Man
http://www.wikidata.org/entity/Q100353540,N/A,Amrita Sher-Gil,Two Women
http://www.wikidata.org/entity/Q17343143,N/A,Bartolome Esteban Murillo,Madonna and Child
http://www.wikidata.org/entity/Q118986987,N/A,Nicolaes Maes,Still Life of Fruit in a formal Garden
http://www.wikidata.org/entity/Q119727346,N/A,John Jackson,Mr Hopper
http://www.wikidata.org/entity/Q106935356,N/A,Claude Monet,Rio della Salute
http://www.wikidata.org/entity/Q102221266,N/A,Salvador Dali,The God of the Bay of Roses
http://www.wikidata.org/entity/Q119009385,N/A,George Romney,"The Death of General Wolfe at Quebec, 1759"
http://www.wikidata.org/entity/Q106772922,N/A,Simon Vouet,Saint Sebastian
http://www.wikidata.org/entity/Q27957236,N/A,William Turnbull,Head
http://www.wikidata.org/entity/Q20266337,N/A,Salvador Dali,A Chemist Lifting with Extreme Precaution the Cuticle of a Grand Piano
http://www.wikidata.org/entity/Q65572740,N/A,John Singer Sargent,Study of a Young Man
http://www.wikidata.org/entity/Q18687480,N/A,William Turner,Caligula's Palace and Bridge
http://www.wikidata.org/entity/Q119040270,N/A,George Harvey,The Alarm
http://www.wikidata.org/entity/Q26706598,N/A,Thomas Gainsborough,John Plampin
http://www.wikidata.org/entity/Q47509147,N/A,Rembrandt Peale,James Kent
http://www.wikidata.org/entity/Q1059211,N/A,Andrea del Verocchio,The Baptism of Christ
http://www.wikidata.org/entity/Q2234397,N/A,Rembrandt,The Conspiracy of Claudius Civilis
http://www.wikidata.org/entity/Q24022744,N/A,Vincent van Gogh,Olive Grove with Picking Figures
http://www.wikidata.org/entity/Q19887432,N/A,Kay Sage,Watching the Clock
http://www.wikidata.org/entity/Q42880141,N/A,Childe Hassam,"Northeast Headlands, Appledore"
http://www.wikidata.org/entity/Q20499971,N/A,Betty Parsons,Bright Day
http://www.wikidata.org/entity/Q23940157,N/A,Karl Knaths,Maritime
http://www.wikidata.org/entity/Q50813389,N/A,John Singer Sargent,Portrait of Dorothy Barnard
http://www.wikidata.org/entity/Q19681685,N/A,Bernardo Bellotto,Carmelite Church in Warsaw
http://www.wikidata.org/entity/Q26772533,N/A,Palma Vecchio,"Young Woman in a Blue Dress, with Fan"
http://www.wikidata.org/entity/Q119020438,N/A,George Romney,Lord Ducie
http://www.wikidata.org/entity/Q60587070,N/A,Ivan Shishkin,Path in the forest
http://www.wikidata.org/entity/Q20737409,N/A,Asher Brown Durand,Woodland Landscape
http://www.wikidata.org/entity/Q7740059,N/A,Chris Ofili,The Holy Virgin Mary
http://www.wikidata.org/entity/Q6011947,N/A,Roy Lichtenstein,In the car
http://www.wikidata.org/entity/Q20504963,N/A,Henry Ossawa Tanner,Head of a Jew in Palestine
http://www.wikidata.org/entity/Q19858422,N/A,James Tissot,Portrait of the Pilgrim
http://www.wikidata.org/entity/Q65363129,N/A,Odilon Redon,Édouard Vuillard
http://www.wikidata.org/entity/Q50871172,N/A,Charles Martin Powell,A Third-Rate Entering Port Mahon
http://www.wikidata.org/entity/Q28549314,N/A,John Bratby,Still Life with Chip Frier
http://www.wikidata.org/entity/Q28533155,N/A,David Cox,The Road across the Common
http://www.wikidata.org/entity/Q27766092,N/A,Francisco Goya,Charles III
http://www.wikidata.org/entity/Q60388826,N/A,Amadeo de Souza-Cardoso,Landscape with black figure
http://www.wikidata.org/entity/Q65569256,N/A,Henri Matisse,Icarus
http://www.wikidata.org/entity/Q29117926,N/A,Francisco de Zurbarán,The Immaculate Conception
http://www.wikidata.org/entity/Q119693876,N/A,James Charles,"Summer, the Village Road"
http://www.wikidata.org/entity/Q108695206,N/A,Thomas Hill,"View of the Yosemite Valley, in California"
http://www.wikidata.org/entity/Q111797269,N/A,Georges Braque,Still life with fruits
http://www.wikidata.org/entity/Q23011366,N/A,Sofonisba Anguissola,Portrait of a Boy at the Spanish Court
http://www.wikidata.org/entity/Q21449986,N/A,Rembrandt,Bust of an Old Man in a Fur Cap
http://www.wikidata.org/entity/Q20268575,N/A,Thomas Sully,Mrs. Klapp (Anna Milnor)
http://www.wikidata.org/entity/Q20276964,N/A,Asger Jorn,In the Beginning Was the Image
http://www.wikidata.org/entity/Q35711692,N/A,Paul Gauguin,The Forest Path
http://www.wikidata.org/entity/Q52253013,N/A,Adam Elsheimer,Tobias and the Angel
http://www.wikidata.org/entity/Q27978494,N/A,Bartolome Esteban Murillo,Death of the Inquisitor Pedro de Arbués
http://www.wikidata.org/entity/Q119137697,N/A,Frederick Morgan,A Modern Eve
http://www.wikidata.org/entity/Q115669386,N/A,Charles Gleyre,Les Brigands Romains
http://www.wikidata.org/entity/Q19882438,N/A,William Baziotes,Dusk
http://www.wikidata.org/entity/Q27971436,N/A,Graham Sutherland,Western Hills
http://www.wikidata.org/entity/Q18573889,N/A,Giambattista Pittoni,Bacchus and Ariadne
http://www.wikidata.org/entity/Q27980119,N/A,Peter Paul Rubens,The Assumption of Mary
http://www.wikidata.org/entity/Q28567798,N/A,Walter Sickert,Miss Earhart's Arrival
http://www.wikidata.org/entity/Q101209734,N/A,Hans Baldung,Maria with the sleeping child
http://www.wikidata.org/entity/Q20634414,N/A,Andrew Wyeth,Anna Christina
http://www.wikidata.org/entity/Q119729085,N/A,Augustus John,Zoe Hicks
http://www.wikidata.org/entity/Q1494733,N/A,August Macke,Gartentor
http://www.wikidata.org/entity/Q119351265,N/A,William Scott,Blue on Blue
http://www.wikidata.org/entity/Q119324558,N/A,Frank Auerbach,Maples Demo
http://www.wikidata.org/entity/Q20488195,N/A,James Tissot,The Widower
http://www.wikidata.org/entity/Q22968466,N/A,Ramon Casas,Portrait of Pablo Picasso
http://www.wikidata.org/entity/Q106978990,N/A,Pierre Auguste Renoir,Cagnes Landscape
http://www.wikidata.org/entity/Q18602431,N/A,Caspar David Friedrich,Mountainous River Landscape
http://www.wikidata.org/entity/Q972196,N/A,Leonardo da Vinci,St. Jerome
http://www.wikidata.org/entity/Q64578123,N/A,Georges Seurat,"Study for \""Bathers at Asnieres\"""
http://www.wikidata.org/entity/Q119820672,N/A,Algernon Talmage,Study for 'Cornish Harvest'
